sub_type,val,bel,instruction,conf
MP,Valid,Unbelievable,Logic,conflict
AC,Valid,Believable,Belief,non_conflict
AC,Invalid,Unbelievable,Belief,non_conflict
MP,Invalid,Unbelievable,Logic,non_conflict
AC,Valid,Unbelievable,Belief,conflict
AC,Invalid,Believable,Logic,conflict
MP,Valid,Believable,Logic,non_conflict
AC,Invalid,Believable,Logic,conflict
MP,Invalid,Believable,Logic,conflict
MP,Valid,Believable,Belief,non_conflict
AC,Valid,Believable,Belief,non_conflict
AC,Invalid,Unbelievable,Belief,non_conflict
MP,Valid,Believable,Logic,non_conflict
AC,Invalid,Believable,Belief,conflict
AC,Invalid,Believable,Logic,conflict
MP,Valid,Unbelievable,Belief,conflict
MP,Valid,Unbelievable,Logic,conflict
AC,Valid,Unbelievable,Logic,conflict
AC,Invalid,Unbelievable,Logic,non_conflict
AC,Valid,Believable,Logic,non_conflict
AC,Valid,Unbelievable,Belief,conflict
MP,Invalid,Believable,Logic,conflict
AC,Valid,Believable,Logic,non_conflict
MP,Valid,Unbelievable,Belief,conflict
MP,Invalid,Believable,Belief,conflict
MP,Invalid,Unbelievable,Logic,non_conflict
AC,Valid,Believable,Belief,non_conflict
MP,Invalid,Unbelievable,Belief,non_conflict
AC,Invalid,Believable,Belief,conflict
MP,Valid,Unbelievable,Belief,conflict
MP,Invalid,Unbelievable,Belief,non_conflict
MP,Valid,Unbelievable,Logic,conflict
MP,Valid,Unbelievable,Belief,conflict
AC,Invalid,Believable,Belief,conflict
MP,Valid,Believable,Belief,non_conflict
MP,Invalid,Unbelievable,Belief,non_conflict
AC,Valid,Believable,Belief,non_conflict
MP,Invalid,Believable,Logic,conflict
AC,Invalid,Unbelievable,Belief,non_conflict
AC,Valid,Believable,Logic,non_conflict
MP,Invalid,Believable,Logic,conflict
AC,Valid,Unbelievable,Belief,conflict
MP,Invalid,Believable,Belief,conflict
MP,Valid,Believable,Logic,non_conflict
AC,Invalid,Unbelievable,Logic,non_conflict
AC,Valid,Believable,Logic,non_conflict
AC,Invalid,Believable,Logic,conflict
MP,Valid,Believable,Belief,non_conflict
AC,Valid,Unbelievable,Belief,conflict
AC,Valid,Unbelievable,Logic,conflict
MP,Valid,Believable,Belief,non_conflict
MP,Invalid,Believable,Belief,conflict
AC,Invalid,Believable,Belief,conflict
MP,Invalid,Unbelievable,Belief,non_conflict
AC,Valid,Unbelievable,Logic,conflict
AC,Invalid,Unbelievable,Logic,non_conflict
AC,Valid,Unbelievable,Logic,conflict
MP,Valid,Believable,Logic,non_conflict
MP,Invalid,Believable,Belief,conflict
MP,Valid,Unbelievable,Logic,conflict
MP,Invalid,Unbelievable,Logic,non_conflict
MP,Invalid,Unbelievable,Logic,non_conflict
AC,Invalid,Unbelievable,Logic,non_conflict
AC,Invalid,Unbelievable,Belief,non_conflict
