trialcode,stimulusitem1,valence
attributeB,Wonderful,positive
attributeB,Nasty,negative
attributeA,Nasty,negative
attributeA,Wonderful,positive
attributeB,Pleasant,positive
attributeB,Sad,negative
attributeA,Terrible,negative
attributeA,Fantastic,positive
attributeB,Horrible,negative
attributeA,Happy,positive
attributeB,Great,positive
attributeA,Disgusting,negative
attributeB,Fantastic,positive
attributeA,Great,positive
attributeB,Terrible,negative
attributeA,Horrible,negative
attributeA,Sad,negative
attributeB,Pleasant,positive
attributeA,Great,positive
attributeB,Disgusting,negative
