trialcode,stimulusitem1,valence
attributeB,Happy,positive
attributeA,Amazing,positive
attributeB,Awful,negative
attributeA,Awful,negative
attributeA,Nasty,negative
attributeB,Happy,positive
attributeA,Great,positive
attributeB,Terrible,negative
attributeB,Pleasant,positive
attributeA,Good,positive
attributeA,Sad,negative
attributeB,Awful,negative
attributeB,Pleasant,positive
attributeB,Horrible,negative
attributeA,Happy,positive
attributeA,Unpleasant,negative
attributeB,Disgusting,negative
attributeA,Good,positive
attributeB,Happy,positive
attributeA,Terrible,negative
