trialcode,stimulusitem1,valence
attributeA,Unpleasant,negative
attributeB,Amazing,positive
attributeA,Happy,positive
attributeB,Horrible,negative
attributeB,Sad,negative
attributeA,Good,positive
attributeA,Terrible,negative
attributeB,Amazing,positive
attributeB,Fantastic,positive
attributeB,Sick,negative
attributeA,Terrible,negative
attributeA,Wonderful,positive
attributeA,Wonderful,positive
attributeA,Disgusting,negative
attributeB,Terrible,negative
attributeB,Fantastic,positive
attributeB,Fantastic,positive
attributeA,Disgusting,negative
attributeA,Fantastic,positive
attributeB,Sad,negative
