trialcode,stimulusitem1,valence
attributeB,Pleasant,positive
attributeA,Good,positive
attributeB,Sick,negative
attributeA,Horrible,negative
attributeA,Sad,negative
attributeB,Wonderful,positive
attributeB,Nasty,negative
attributeA,Great,positive
attributeA,Disgusting,negative
attributeA,Fantastic,positive
attributeB,Happy,positive
attributeB,Sad,negative
attributeA,Happy,positive
attributeB,Unpleasant,negative
attributeB,Amazing,positive
attributeA,Nasty,negative
attributeB,Good,positive
attributeB,Sad,negative
attributeA,Sick,negative
attributeA,Great,positive
