trialcode,stimulusitem1,valence
attributeB,Terrible,negative
attributeB,Great,positive
attributeA,Happy,positive
attributeA,Terrible,negative
attributeA,Unpleasant,negative
attributeB,Pleasant,positive
attributeB,Horrible,negative
attributeA,Fantastic,positive
attributeB,Good,positive
attributeA,Wonderful,positive
attributeA,Sick,negative
attributeB,Disgusting,negative
attributeA,Sick,negative
attributeB,Fantastic,positive
attributeA,Great,positive
attributeB,Horrible,negative
attributeB,Great,positive
attributeA,Happy,positive
attributeA,Sick,negative
attributeB,Disgusting,negative
