trialcode,stimulusitem1,valence
attributeA,Sick,negative
attributeB,Happy,positive
attributeA,Amazing,positive
attributeB,Sad,negative
attributeA,Good,positive
attributeB,Nice,positive
attributeA,Horrible,negative
attributeB,Sick,negative
attributeA,Nice,positive
attributeB,Unpleasant,negative
attributeA,Disgusting,negative
attributeB,Amazing,positive
attributeA,Pleasant,positive
attributeA,Awful,negative
attributeB,Disgusting,negative
attributeB,Amazing,positive
attributeB,Nice,positive
attributeB,Awful,negative
attributeA,Awful,negative
attributeA,Fantastic,positive
