trialcode,stimulusitem1,valence
attributeA,Unpleasant,negative
attributeB,Disgusting,negative
attributeA,Good,positive
attributeB,Fantastic,positive
attributeB,Awful,negative
attributeB,Amazing,positive
attributeA,Pleasant,positive
attributeA,Sad,negative
attributeB,Horrible,negative
attributeA,Sick,negative
attributeB,Wonderful,positive
attributeA,Fantastic,positive
attributeB,Sick,negative
attributeA,Wonderful,positive
attributeB,Amazing,positive
attributeA,Unpleasant,negative
attributeA,Nasty,negative
attributeA,Wonderful,positive
attributeB,Sad,negative
attributeB,Amazing,positive
