trialcode,stimulusitem1,valence
attributeB,Wonderful,positive
attributeA,Awful,negative
attributeA,Good,positive
attributeB,Awful,negative
attributeB,Terrible,negative
attributeB,Happy,positive
attributeA,Sad,negative
attributeA,Nice,positive
attributeA,Terrible,negative
attributeB,Terrible,negative
attributeA,Fantastic,positive
attributeB,Amazing,positive
attributeA,Fantastic,positive
attributeA,Horrible,negative
attributeB,Happy,positive
attributeB,Sick,negative
attributeB,Disgusting,negative
attributeB,Happy,positive
attributeA,Disgusting,negative
attributeA,Pleasant,positive
