trialcode,stimulusitem1,valence
attributeB,Amazing,positive
attributeA,Terrible,negative
attributeA,Amazing,positive
attributeB,Disgusting,negative
attributeB,Good,positive
attributeA,Sick,negative
attributeB,Sick,negative
attributeA,Good,positive
attributeA,Nasty,negative
attributeB,Great,positive
attributeB,Nasty,negative
attributeA,Wonderful,positive
attributeA,Nasty,negative
attributeB,Terrible,negative
attributeB,Good,positive
attributeA,Wonderful,positive
attributeB,Horrible,negative
attributeA,Terrible,negative
attributeA,Nice,positive
attributeB,Nice,positive
