trialcode,stimulusitem1,valence
attributeA,Sick,negative
attributeB,Terrible,negative
attributeB,Great,positive
attributeA,Great,positive
attributeB,Great,positive
attributeB,Horrible,negative
attributeA,Good,positive
attributeA,Sick,negative
attributeB,Disgusting,negative
attributeB,Pleasant,positive
attributeA,Sad,negative
attributeA,Nice,positive
attributeA,Pleasant,positive
attributeB,Amazing,positive
attributeB,Nasty,negative
attributeA,Awful,negative
attributeA,Amazing,positive
attributeB,Amazing,positive
attributeA,Awful,negative
attributeB,Nasty,negative
