trialcode,stimulusitem1,valence
attributeB,Happy,positive
attributeA,Fantastic,positive
attributeA,Nasty,negative
attributeB,Sick,negative
attributeB,Great,positive
attributeA,Unpleasant,negative
attributeB,Unpleasant,negative
attributeA,Happy,positive
attributeA,Good,positive
attributeB,Disgusting,negative
attributeA,Unpleasant,negative
attributeB,Wonderful,positive
attributeB,Unpleasant,negative
attributeA,Unpleasant,negative
attributeB,Great,positive
attributeA,Nice,positive
attributeA,Great,positive
attributeB,Nice,positive
attributeA,Disgusting,negative
attributeB,Disgusting,negative
