trialcode,stimulusitem1,valence
attributeB,Good,positive
attributeA,Disgusting,negative
attributeA,Wonderful,positive
attributeB,Sick,negative
attributeB,Wonderful,positive
attributeA,Good,positive
attributeA,Unpleasant,negative
attributeB,Sad,negative
attributeA,Happy,positive
attributeA,Nasty,negative
attributeB,Disgusting,negative
attributeB,Happy,positive
attributeB,Sad,negative
attributeB,Good,positive
attributeA,Horrible,negative
attributeA,Great,positive
attributeB,Happy,positive
attributeA,Happy,positive
attributeB,Terrible,negative
attributeA,Awful,negative
