trialcode,stimulusitem1,valence
attributeA,Wonderful,positive
attributeA,Disgusting,negative
attributeB,Wonderful,positive
attributeB,Unpleasant,negative
attributeA,Amazing,positive
attributeB,Nasty,negative
attributeA,Horrible,negative
attributeB,Amazing,positive
attributeA,Disgusting,negative
attributeB,Good,positive
attributeB,Nasty,negative
attributeA,Great,positive
attributeB,Happy,positive
attributeA,Unpleasant,negative
attributeA,Good,positive
attributeB,Unpleasant,negative
attributeA,Sad,negative
attributeA,Pleasant,positive
attributeB,Sad,negative
attributeB,Amazing,positive
