trialcode,stimulusitem1,valence
attributeB,Nasty,negative
attributeA,Sick,negative
attributeB,Good,positive
attributeA,Pleasant,positive
attributeB,Sad,negative
attributeB,Nice,positive
attributeA,Horrible,negative
attributeA,Good,positive
attributeB,Wonderful,positive
attributeA,Happy,positive
attributeB,Terrible,negative
attributeA,Terrible,negative
attributeB,Nice,positive
attributeA,Good,positive
attributeA,Nasty,negative
attributeB,Horrible,negative
attributeA,Nasty,negative
attributeB,Happy,positive
attributeA,Good,positive
attributeB,Horrible,negative
