trialcode,stimulusitem1,valence
attributeB,Fantastic,positive
attributeB,Sad,negative
attributeA,Disgusting,negative
attributeA,Pleasant,positive
attributeB,Amazing,positive
attributeB,Awful,negative
attributeA,Happy,positive
attributeA,Sick,negative
attributeA,Sad,negative
attributeB,Nasty,negative
attributeB,Wonderful,positive
attributeA,Wonderful,positive
attributeA,Nice,positive
attributeB,Horrible,negative
attributeB,Good,positive
attributeA,Nasty,negative
attributeB,Amazing,positive
attributeA,Wonderful,positive
attributeA,Terrible,negative
attributeB,Sick,negative
