trialcode,stimulusitem1,valence
attributeB,Sick,negative
attributeA,Good,positive
attributeA,Sick,negative
attributeB,Wonderful,positive
attributeA,Wonderful,positive
attributeB,Great,positive
attributeA,Terrible,negative
attributeB,Nasty,negative
attributeB,Wonderful,positive
attributeA,Nice,positive
attributeB,Unpleasant,negative
attributeA,Nasty,negative
attributeB,Nasty,negative
attributeA,Sad,negative
attributeB,Great,positive
attributeA,Amazing,positive
attributeB,Awful,negative
attributeA,Disgusting,negative
attributeB,Fantastic,positive
attributeA,Happy,positive
