trialcode,stimulusitem1,valence
attributeB,Pleasant,positive
attributeA,Wonderful,positive
attributeB,Sad,negative
attributeA,Terrible,negative
attributeB,Sad,negative
attributeA,Sick,negative
attributeA,Happy,positive
attributeB,Pleasant,positive
attributeB,Amazing,positive
attributeB,Nasty,negative
attributeA,Amazing,positive
attributeA,Terrible,negative
attributeB,Sick,negative
attributeA,Great,positive
attributeB,Wonderful,positive
attributeA,Nasty,negative
attributeB,Sick,negative
attributeB,Great,positive
attributeA,Amazing,positive
attributeA,Horrible,negative
