trialcode,stimulusitem1,valence
attributeB,Awful,negative
attributeA,Sick,negative
attributeA,Amazing,positive
attributeB,Pleasant,positive
attributeA,Fantastic,positive
attributeA,Horrible,negative
attributeB,Horrible,negative
attributeB,Nice,positive
attributeB,Horrible,negative
attributeA,Sick,negative
attributeB,Fantastic,positive
attributeA,Great,positive
attributeA,Horrible,negative
attributeB,Sad,negative
attributeB,Nice,positive
attributeA,Amazing,positive
attributeB,Horrible,negative
attributeA,Terrible,negative
attributeA,Nice,positive
attributeB,Happy,positive
