trialcode,stimulusitem1,valence
attributeB,Awful,negative
attributeB,Great,positive
attributeA,Amazing,positive
attributeA,Sick,negative
attributeB,Horrible,negative
attributeA,Good,positive
attributeB,Fantastic,positive
attributeA,Nasty,negative
attributeA,Nasty,negative
attributeB,Happy,positive
attributeB,Horrible,negative
attributeA,Wonderful,positive
attributeA,Wonderful,positive
attributeB,Happy,positive
attributeB,Disgusting,negative
attributeA,Awful,negative
attributeB,Terrible,negative
attributeB,Amazing,positive
attributeA,Sick,negative
attributeA,Wonderful,positive
