trialcode,stimulusitem1,valence
attributeB,Sick,negative
attributeA,Awful,negative
attributeB,Fantastic,positive
attributeA,Pleasant,positive
attributeA,Disgusting,negative
attributeB,Good,positive
attributeB,Unpleasant,negative
attributeA,Fantastic,positive
attributeB,Nice,positive
attributeA,Sad,negative
attributeB,Disgusting,negative
attributeA,Great,positive
attributeB,Unpleasant,negative
attributeA,Awful,negative
attributeA,Pleasant,positive
attributeB,Wonderful,positive
attributeA,Terrible,negative
attributeB,Good,positive
attributeA,Amazing,positive
attributeB,Horrible,negative
