trialcode,stimulusitem1,valence
attributeB,Sick,negative
attributeA,Nice,positive
attributeB,Nice,positive
attributeA,Sad,negative
attributeA,Fantastic,positive
attributeA,Sick,negative
attributeB,Awful,negative
attributeB,Pleasant,positive
attributeB,Disgusting,negative
attributeA,Unpleasant,negative
attributeA,Happy,positive
attributeB,Wonderful,positive
attributeA,Pleasant,positive
attributeA,Nasty,negative
attributeB,Disgusting,negative
attributeB,Pleasant,positive
attributeB,Nasty,negative
attributeB,Great,positive
attributeA,Great,positive
attributeA,Sad,negative
