trialcode,stimulusitem1,valence
attributeA,Awful,negative
attributeB,Horrible,negative
attributeA,Wonderful,positive
attributeB,Great,positive
attributeA,Pleasant,positive
attributeA,Unpleasant,negative
attributeB,Nasty,negative
attributeB,Fantastic,positive
attributeA,Nasty,negative
attributeB,Awful,negative
attributeA,Pleasant,positive
attributeB,Wonderful,positive
attributeB,Fantastic,positive
attributeB,Sick,negative
attributeA,Good,positive
attributeA,Nasty,negative
attributeA,Good,positive
attributeA,Unpleasant,negative
attributeB,Disgusting,negative
attributeB,Fantastic,positive
