trialcode,stimulusitem1,valence
attributeB,Horrible,negative
attributeA,Sick,negative
attributeA,Happy,positive
attributeB,Nice,positive
attributeA,Nice,positive
attributeA,Disgusting,negative
attributeB,Sad,negative
attributeB,Nice,positive
attributeA,Nice,positive
attributeB,Wonderful,positive
attributeA,Sick,negative
attributeB,Terrible,negative
attributeA,Pleasant,positive
attributeA,Terrible,negative
attributeB,Happy,positive
attributeB,Terrible,negative
attributeA,Fantastic,positive
attributeB,Amazing,positive
attributeA,Terrible,negative
attributeB,Sad,negative
