trialcode,stimulusitem1,valence
attributeA,Disgusting,negative
attributeA,Happy,positive
attributeB,Horrible,negative
attributeB,Wonderful,positive
attributeB,Nasty,negative
attributeB,Fantastic,positive
attributeA,Terrible,negative
attributeA,Fantastic,positive
attributeB,Unpleasant,negative
attributeA,Nasty,negative
attributeA,Happy,positive
attributeB,Happy,positive
attributeB,Pleasant,positive
attributeB,Awful,negative
attributeA,Sad,negative
attributeA,Amazing,positive
attributeB,Disgusting,negative
attributeB,Happy,positive
attributeA,Terrible,negative
attributeA,Good,positive
