trialcode,stimulusitem1,valence
attributeA,Amazing,positive
attributeA,Sick,negative
attributeB,Great,positive
attributeB,Awful,negative
attributeA,Terrible,negative
attributeA,Fantastic,positive
attributeB,Happy,positive
attributeB,Awful,negative
attributeA,Fantastic,positive
attributeA,Sad,negative
attributeB,Amazing,positive
attributeB,Disgusting,negative
attributeB,Sick,negative
attributeA,Great,positive
attributeA,Unpleasant,negative
attributeB,Pleasant,positive
attributeB,Disgusting,negative
attributeA,Unpleasant,negative
attributeA,Good,positive
attributeB,Great,positive
