trialcode,stimulusitem1,valence
attributeB,Horrible,negative
attributeA,Nice,positive
attributeA,Horrible,negative
attributeB,Great,positive
attributeB,Terrible,negative
attributeA,Pleasant,positive
attributeB,Wonderful,positive
attributeA,Sad,negative
attributeB,Nasty,negative
attributeA,Amazing,positive
attributeB,Great,positive
attributeA,Awful,negative
attributeB,Sad,negative
attributeA,Fantastic,positive
attributeA,Unpleasant,negative
attributeB,Fantastic,positive
attributeB,Good,positive
attributeA,Horrible,negative
attributeB,Sick,negative
attributeA,Amazing,positive
