trialcode,stimulusitem1,valence
attributeA,Sick,negative
attributeA,Nice,positive
attributeB,Sick,negative
attributeB,Great,positive
attributeB,Pleasant,positive
attributeB,Nasty,negative
attributeA,Good,positive
attributeA,Terrible,negative
attributeA,Pleasant,positive
attributeA,Disgusting,negative
attributeB,Sad,negative
attributeB,Amazing,positive
attributeB,Great,positive
attributeA,Wonderful,positive
attributeA,Horrible,negative
attributeB,Horrible,negative
attributeB,Fantastic,positive
attributeB,Terrible,negative
attributeA,Good,positive
attributeA,Sick,negative
