trialcode,stimulusitem1,valence
attributeA,Good,positive
attributeA,Sick,negative
attributeB,Nice,positive
attributeB,Horrible,negative
attributeB,Unpleasant,negative
attributeA,Pleasant,positive
attributeB,Good,positive
attributeA,Awful,negative
attributeB,Wonderful,positive
attributeA,Unpleasant,negative
attributeB,Nasty,negative
attributeA,Nice,positive
attributeA,Nice,positive
attributeB,Good,positive
attributeA,Awful,negative
attributeB,Disgusting,negative
attributeB,Nasty,negative
attributeA,Sad,negative
attributeB,Good,positive
attributeA,Amazing,positive
