trialcode,stimulusitem1,valence
attributeA,Pleasant,positive
attributeB,Amazing,positive
attributeB,Disgusting,negative
attributeA,Terrible,negative
attributeA,Amazing,positive
attributeA,Horrible,negative
attributeB,Awful,negative
attributeB,Happy,positive
attributeB,Sick,negative
attributeB,Amazing,positive
attributeA,Sick,negative
attributeA,Happy,positive
attributeB,Fantastic,positive
attributeA,Sad,negative
attributeB,Unpleasant,negative
attributeA,Happy,positive
attributeB,Wonderful,positive
attributeA,Sick,negative
attributeA,Wonderful,positive
attributeB,Disgusting,negative
