trialcode,stimulusitem1,valence
attributeB,Happy,positive
attributeA,Sad,negative
attributeB,Sick,negative
attributeA,Great,positive
attributeB,Awful,negative
attributeA,Great,positive
attributeB,Great,positive
attributeA,Awful,negative
attributeA,Wonderful,positive
attributeB,Pleasant,positive
attributeA,Sad,negative
attributeB,Disgusting,negative
attributeB,Sad,negative
attributeA,Fantastic,positive
attributeB,Pleasant,positive
attributeA,Sick,negative
attributeA,Sick,negative
attributeB,Awful,negative
attributeA,Amazing,positive
attributeB,Amazing,positive
