trialcode,stimulusitem1,valence
attributeB,Sick,negative
attributeB,Happy,positive
attributeA,Fantastic,positive
attributeA,Sad,negative
attributeA,Happy,positive
attributeA,Unpleasant,negative
attributeB,Happy,positive
attributeB,Horrible,negative
attributeB,Sad,negative
attributeA,Nice,positive
attributeA,Terrible,negative
attributeB,Fantastic,positive
attributeB,Terrible,negative
attributeB,Happy,positive
attributeA,Nice,positive
attributeA,Disgusting,negative
attributeB,Pleasant,positive
attributeB,Awful,negative
attributeA,Pleasant,positive
attributeA,Horrible,negative
