trialcode,stimulusitem1,valence
attributeA,Sad,negative
attributeA,Amazing,positive
attributeB,Sick,negative
attributeB,Wonderful,positive
attributeB,Unpleasant,negative
attributeA,Wonderful,positive
attributeB,Good,positive
attributeA,Horrible,negative
attributeB,Wonderful,positive
attributeA,Sick,negative
attributeA,Amazing,positive
attributeB,Awful,negative
attributeB,Happy,positive
attributeA,Sick,negative
attributeB,Unpleasant,negative
attributeA,Happy,positive
attributeA,Unpleasant,negative
attributeA,Amazing,positive
attributeB,Nice,positive
attributeB,Terrible,negative
