trialcode,stimulusitem1,valence
attributeB,Awful,negative
attributeA,Happy,positive
attributeB,Good,positive
attributeA,Sad,negative
attributeB,Amazing,positive
attributeB,Unpleasant,negative
attributeA,Nasty,negative
attributeA,Nice,positive
attributeA,Horrible,negative
attributeA,Fantastic,positive
attributeB,Wonderful,positive
attributeB,Horrible,negative
attributeA,Horrible,negative
attributeB,Sad,negative
attributeA,Good,positive
attributeB,Great,positive
attributeB,Sad,negative
attributeA,Fantastic,positive
attributeA,Unpleasant,negative
attributeB,Good,positive
