trialcode,stimulusitem1,valence
attributeB,Wonderful,positive
attributeA,Wonderful,positive
attributeB,Awful,negative
attributeA,Nasty,negative
attributeA,Nasty,negative
attributeA,Nice,positive
attributeB,Wonderful,positive
attributeB,Disgusting,negative
attributeA,Pleasant,positive
attributeA,Sad,negative
attributeB,Great,positive
attributeB,Terrible,negative
attributeB,Terrible,negative
attributeB,Great,positive
attributeA,Disgusting,negative
attributeA,Fantastic,positive
attributeA,Wonderful,positive
attributeB,Amazing,positive
attributeB,Sick,negative
attributeA,Unpleasant,negative
