trialcode,stimulusitem1,valence
attributeB,Terrible,negative
attributeA,Pleasant,positive
attributeA,Disgusting,negative
attributeB,Amazing,positive
attributeB,Nice,positive
attributeB,Unpleasant,negative
attributeA,Horrible,negative
attributeA,Great,positive
attributeB,Great,positive
attributeA,Nasty,negative
attributeB,Disgusting,negative
attributeA,Fantastic,positive
attributeB,Awful,negative
attributeA,Happy,positive
attributeB,Happy,positive
attributeA,Awful,negative
attributeA,Fantastic,positive
attributeB,Fantastic,positive
attributeA,Sick,negative
attributeB,Disgusting,negative
