trialcode,stimulusitem1,valence
attributeA,Sad,negative
attributeB,Wonderful,positive
attributeB,Nasty,negative
attributeA,Amazing,positive
attributeA,Terrible,negative
attributeB,Great,positive
attributeA,Good,positive
attributeB,Horrible,negative
attributeB,Unpleasant,negative
attributeB,Nice,positive
attributeA,Pleasant,positive
attributeA,Unpleasant,negative
attributeB,Nice,positive
attributeA,Nasty,negative
attributeB,Horrible,negative
attributeA,Nice,positive
attributeB,Pleasant,positive
attributeA,Good,positive
attributeB,Disgusting,negative
attributeA,Horrible,negative
