trialcode,stimulusitem1,valence
attributeB,Unpleasant,negative
attributeB,Pleasant,positive
attributeA,Nasty,negative
attributeA,Pleasant,positive
attributeB,Sick,negative
attributeA,Terrible,negative
attributeB,Pleasant,positive
attributeA,Good,positive
attributeB,Nice,positive
attributeB,Sad,negative
attributeA,Disgusting,negative
attributeA,Happy,positive
attributeB,Sad,negative
attributeA,Sick,negative
attributeA,Pleasant,positive
attributeB,Wonderful,positive
attributeA,Sick,negative
attributeB,Fantastic,positive
attributeA,Fantastic,positive
attributeB,Sad,negative
