trialcode,stimulusitem1,valence
attributeB,Disgusting,negative
attributeA,Pleasant,positive
attributeA,Nasty,negative
attributeB,Amazing,positive
attributeA,Disgusting,negative
attributeB,Disgusting,negative
attributeA,Fantastic,positive
attributeB,Amazing,positive
attributeB,Horrible,negative
attributeA,Awful,negative
attributeB,Fantastic,positive
attributeA,Good,positive
attributeA,Disgusting,negative
attributeA,Pleasant,positive
attributeB,Unpleasant,negative
attributeB,Great,positive
attributeA,Sick,negative
attributeB,Sad,negative
attributeB,Great,positive
attributeA,Good,positive
