trialcode,stimulusitem1,valence
attributeA,Good,positive
attributeB,Sick,negative
attributeA,Happy,positive
attributeB,Sad,negative
attributeA,Great,positive
attributeB,Disgusting,negative
attributeA,Nice,positive
attributeB,Nasty,negative
attributeA,Fantastic,positive
attributeB,Terrible,negative
attributeB,Unpleasant,negative
attributeA,Amazing,positive
attributeA,Pleasant,positive
attributeB,Awful,negative
attributeB,Horrible,negative
attributeB,Horrible,negative
attributeA,Wonderful,positive
attributeB,Sick,negative
attributeA,Good,positive
attributeA,Great,positive
