trialcode,stimulusitem1,valence
attributeB,Sick,negative
attributeB,Disgusting,negative
attributeA,Happy,positive
attributeB,Nasty,negative
attributeB,Terrible,negative
attributeA,Fantastic,positive
attributeA,Good,positive
attributeA,Amazing,positive
attributeB,Horrible,negative
attributeB,Unpleasant,negative
attributeB,Awful,negative
attributeA,Wonderful,positive
attributeA,Pleasant,positive
attributeA,Nice,positive
attributeA,Great,positive
attributeB,Sad,negative
attributeB,Sad,negative
attributeA,Pleasant,positive
attributeA,Good,positive
attributeB,Disgusting,negative
