trialcode,stimulusitem1,valence
attributeB,Sad,negative
attributeA,Wonderful,positive
attributeB,Sick,negative
attributeB,Disgusting,negative
attributeA,Great,positive
attributeA,Good,positive
attributeA,Happy,positive
attributeA,Fantastic,positive
attributeB,Unpleasant,negative
attributeA,Nice,positive
attributeA,Amazing,positive
attributeA,Pleasant,positive
attributeB,Nasty,negative
attributeB,Terrible,negative
attributeB,Awful,negative
attributeA,Good,positive
attributeA,Nice,positive
attributeB,Horrible,negative
attributeB,Sick,negative
attributeB,Sad,negative
