trialcode,stimulusitem1,valence
attributeB,Sick,negative
attributeB,Unpleasant,negative
attributeB,Nasty,negative
attributeA,Happy,positive
attributeA,Good,positive
attributeB,Sad,negative
attributeA,Nice,positive
attributeA,Wonderful,positive
attributeB,Awful,negative
attributeB,Horrible,negative
attributeA,Amazing,positive
attributeA,Pleasant,positive
attributeB,Terrible,negative
attributeA,Great,positive
attributeB,Disgusting,negative
attributeA,Fantastic,positive
attributeA,Happy,positive
attributeB,Sad,negative
attributeB,Nasty,negative
attributeA,Pleasant,positive
