trialcode,stimulusitem1,valence
attributeB,Sick,negative
attributeA,Fantastic,positive
attributeB,Nasty,negative
attributeB,Horrible,negative
attributeB,Unpleasant,negative
attributeB,Disgusting,negative
attributeB,Terrible,negative
attributeB,Sad,negative
attributeA,Pleasant,positive
attributeA,Amazing,positive
attributeB,Awful,negative
attributeA,Great,positive
attributeB,Horrible,negative
attributeA,Good,positive
attributeA,Happy,positive
attributeB,Awful,negative
attributeA,Nice,positive
attributeA,Wonderful,positive
attributeA,Wonderful,positive
attributeA,Amazing,positive
