trialcode,stimulusitem1,valence
attributeB,Sick,negative
attributeB,Sad,negative
attributeB,Disgusting,negative
attributeA,Happy,positive
attributeA,Pleasant,positive
attributeA,Amazing,positive
attributeB,Awful,negative
attributeB,Unpleasant,negative
attributeB,Terrible,negative
attributeA,Fantastic,positive
attributeB,Nasty,negative
attributeA,Wonderful,positive
attributeA,Good,positive
attributeB,Horrible,negative
attributeB,Unpleasant,negative
attributeA,Great,positive
attributeA,Nice,positive
attributeA,Fantastic,positive
attributeB,Sad,negative
attributeA,Amazing,positive
