trialcode,stimulusitem1,valence
attributeA,Good,positive
attributeB,Sick,negative
attributeA,Fantastic,positive
attributeA,Pleasant,positive
attributeB,Disgusting,negative
attributeB,Horrible,negative
attributeA,Nice,positive
attributeB,Nasty,negative
attributeB,Unpleasant,negative
attributeB,Awful,negative
attributeB,Sad,negative
attributeB,Terrible,negative
attributeA,Amazing,positive
attributeA,Wonderful,positive
attributeA,Happy,positive
attributeB,Sad,negative
attributeB,Disgusting,negative
attributeA,Great,positive
attributeA,Pleasant,positive
attributeA,Great,positive
