trialcode,stimulusitem1,valence
attributeB,Terrible,negative
attributeA,Nice,positive
attributeA,Great,positive
attributeB,Awful,negative
attributeA,Pleasant,positive
attributeB,Nasty,negative
attributeB,Sad,negative
attributeB,Sick,negative
attributeB,Horrible,negative
attributeA,Good,positive
attributeB,Disgusting,negative
attributeA,Amazing,positive
attributeA,Wonderful,positive
attributeA,Fantastic,positive
attributeA,Happy,positive
attributeB,Unpleasant,negative
attributeA,Good,positive
attributeA,Amazing,positive
attributeB,Unpleasant,negative
attributeB,Sick,negative
