trialcode,stimulusitem1,valence
attributeB,Sick,negative
attributeB,Awful,negative
attributeA,Nice,positive
attributeB,Terrible,negative
attributeB,Disgusting,negative
attributeB,Sad,negative
attributeA,Wonderful,positive
attributeB,Unpleasant,negative
attributeA,Fantastic,positive
attributeB,Nasty,negative
attributeA,Great,positive
attributeA,Happy,positive
attributeB,Horrible,negative
attributeB,Unpleasant,negative
attributeA,Pleasant,positive
attributeA,Amazing,positive
attributeA,Good,positive
attributeA,Nice,positive
attributeA,Fantastic,positive
attributeB,Sad,negative
