trialcode,stimulusitem1,valence
attributeB,Horrible,negative
attributeA,Pleasant,positive
attributeA,Nice,positive
attributeB,Unpleasant,negative
attributeB,Sick,negative
attributeB,Sad,negative
attributeB,Terrible,negative
attributeA,Fantastic,positive
attributeA,Happy,positive
attributeA,Great,positive
attributeA,Amazing,positive
attributeA,Wonderful,positive
attributeB,Disgusting,negative
attributeB,Nasty,negative
attributeA,Good,positive
attributeA,Amazing,positive
attributeB,Awful,negative
attributeB,Terrible,negative
attributeA,Fantastic,positive
attributeB,Unpleasant,negative
