trialcode,stimulusitem1,valence
attributeB,Terrible,negative
attributeB,Disgusting,negative
attributeB,Sick,negative
attributeA,Nice,positive
attributeA,Wonderful,positive
attributeB,Awful,negative
attributeA,Happy,positive
attributeB,Sad,negative
attributeB,Unpleasant,negative
attributeB,Horrible,negative
attributeA,Pleasant,positive
attributeB,Nasty,negative
attributeA,Amazing,positive
attributeA,Great,positive
attributeA,Fantastic,positive
attributeA,Good,positive
attributeA,Wonderful,positive
attributeB,Sick,negative
attributeB,Nasty,negative
attributeA,Pleasant,positive
