trialcode,stimulusitem1,valence
attributeB,Sad,negative
attributeB,Disgusting,negative
attributeB,Sick,negative
attributeA,Fantastic,positive
attributeB,Nasty,negative
attributeB,Unpleasant,negative
attributeA,Happy,positive
attributeA,Nice,positive
attributeA,Good,positive
attributeB,Horrible,negative
attributeB,Terrible,negative
attributeB,Awful,negative
attributeA,Amazing,positive
attributeA,Great,positive
attributeB,Sick,negative
attributeA,Wonderful,positive
attributeA,Pleasant,positive
attributeB,Disgusting,negative
attributeA,Happy,positive
attributeA,Good,positive
