trialcode,stimulusitem1,valence
attributeB,Sick,negative
attributeB,Unpleasant,negative
attributeB,Horrible,negative
attributeB,Terrible,negative
attributeA,Pleasant,positive
attributeA,Happy,positive
attributeA,Wonderful,positive
attributeB,Nasty,negative
attributeA,Nice,positive
attributeA,Good,positive
attributeA,Fantastic,positive
attributeA,Great,positive
attributeB,Sad,negative
attributeB,Awful,negative
attributeA,Amazing,positive
attributeB,Disgusting,negative
attributeA,Happy,positive
attributeB,Sad,negative
attributeA,Fantastic,positive
attributeB,Terrible,negative
