trialcode,stimulusitem1,valence
attributeB,Unpleasant,negative
attributeB,Terrible,negative
attributeB,Awful,negative
attributeA,Happy,positive
attributeA,Fantastic,positive
attributeB,Disgusting,negative
attributeA,Amazing,positive
attributeA,Nice,positive
attributeA,Great,positive
attributeA,Good,positive
attributeB,Nasty,negative
attributeA,Wonderful,positive
attributeB,Horrible,negative
attributeA,Pleasant,positive
attributeB,Sad,negative
attributeB,Sick,negative
attributeA,Happy,positive
attributeB,Disgusting,negative
attributeB,Sick,negative
attributeA,Fantastic,positive
