trialcode,stimulusitem1,valence
attributeA,Good,positive
attributeA,Nice,positive
attributeB,Terrible,negative
attributeB,Unpleasant,negative
attributeB,Sick,negative
attributeA,Fantastic,positive
attributeB,Disgusting,negative
attributeA,Pleasant,positive
attributeB,Horrible,negative
attributeA,Amazing,positive
attributeA,Happy,positive
attributeA,Great,positive
attributeB,Sad,negative
attributeB,Awful,negative
attributeA,Wonderful,positive
attributeA,Fantastic,positive
attributeB,Nasty,negative
attributeA,Pleasant,positive
attributeB,Sick,negative
attributeB,Terrible,negative
